"Reference","Qty","MPN","DNP"
"U3","1","USBLC6-2SC6",""
"USB1","1","TYPE-C 16PIN 2MD(073)",""
"D1","1","SS14",""
"U1","1","SM04B-SRSS-TB(LF)(SN)",""
"R6,R7","2","RC0603FR-075K1L",""
"R1,R2,R5","3","RC0603FR-071ML",""
"H1,H2","2","MountingHole_Pad","DNP"
"U2","1","MF-MSMF050-2",""
"C2","1","CC0603KRX7R9BB104",""
"C1","1","CC0603JRNPO9BN471",""
